PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TIME_OF_POSS,TOUCHES,FRONT_CT_TOUCHES,AVG_DRIB_PER_TOUCH,SEASON
1630550,JT Thor,CHA,34.3,1335,684,0.59,2022-23
1629630,Ja Morant,MEM,460.6,4700,1574,5.12,2022-23
203210,JaMychal Green,GSW,27.2,1260,796,0.34,2022-23
201580,JaVale McGee,DAL,12.0,491,266,0.46,2022-23
1631095,Jabari Smith Jr.,HOU,118.9,3669,1868,1.02,2022-23
1631133,Jabari Walker,POR,21.9,738,421,0.72,2022-23
1631298,Jack White,DEN,2.6,97,53,0.68,2022-23
1631367,Jacob Gilyard,MEM,6.5,77,18,5.01,2022-23
1630702,Jaden Hardy,DAL,79.9,1214,590,3.63,2022-23
1631093,Jaden Ivey,DET,349.9,4255,1709,4.65,2022-23
1630183,Jaden McDaniels,MIN,97.3,3073,1816,1.2,2022-23
1630531,Jaden Springer,PHI,4.4,85,56,2.2,2022-23
203109,Jae Crowder,MIL,11.7,496,260,0.49,2022-23
1630256,Jae'Sean Tate,HOU,74.5,1268,671,2.58,2022-23
1631222,Jake LaRavia,MEM,14.3,497,280,0.86,2022-23
1627751,Jakob Poeltl,TOR,100.3,3701,2132,0.49,2022-23
