SEASON,PLAYER_NAME,TEAM_ID,POS_EST
2013-14,Timofey Mozgov,1610612743.0,5.0
2013-14,Shabazz Muhammad,1610612750.0,2.3
2013-14,Byron Mullens,,5.0
2013-14,Byron Mullens,1610612746.0,5.0
2013-14,Byron Mullens,1610612755.0,5.0
2013-14,Toure' Murry,1610612752.0,1.04
2013-14,Mike Muscala,1610612737.0,4.79
2013-14,Hamady N'Diaye,1610612758.0,5.0
2013-14,Steve Nash,1610612747.0,1.72
2013-14,Gary Neal,,1.96
2013-14,Gary Neal,1610612749.0,1.93
2013-14,Gary Neal,1610612766.0,2.0
2013-14,Nemanja Nedovic,1610612744.0,1.42
2013-14,Jameer Nelson,1610612753.0,1.0
2013-14,Andrew Nicholson,1610612753.0,4.28
2013-14,Joakim Noah,1610612741.0,5.0
2013-14,Steve Novak,1610612761.0,4.27
2013-14,Dirk Nowitzki,1610612742.0,4.32
2013-14,James Nunnally,,2.91
2013-14,James Nunnally,1610612737.0,2.95
2013-14,James Nunnally,1610612755.0,2.88
2013-14,Jermaine O'Neal,1610612744.0,4.72
2013-14,Kyle O'Quinn,1610612753.0,4.7
2013-14,Greg Oden,1610612748.0,5.0
2013-14,Victor Oladipo,1610612753.0,1.41
2013-14,Kelly Olynyk,1610612738.0,4.95
2013-14,Arinze Onuaku,,4.13
2013-14,Arinze Onuaku,1610612740.0,4.0
2013-14,Arinze Onuaku,1610612739.0,4.79
2013-14,Daniel Orton,1610612755.0,4.83
2013-14,Travis Outlaw,1610612758.0,3.08
2013-14,Zaza Pachulia,1610612749.0,4.99
2013-14,Jannero Pargo,1610612766.0,1.01
2013-14,Tony Parker,1610612759.0,1.05
2013-14,Chandler Parsons,1610612745.0,3.08
2013-14,Patrick Patterson,,4.03
2013-14,Patrick Patterson,1610612758.0,4.12
2013-14,Patrick Patterson,1610612761.0,4.0
2013-14,Chris Paul,1610612746.0,1.0
2013-14,Nikola Pekovic,1610612750.0,5.0
2013-14,Kendrick Perkins,1610612760.0,5.0
2013-14,Paul Pierce,1610612751.0,3.51
2013-14,Dexter Pittman,1610612737.0,5.0
2013-14,Mason Plumlee,1610612751.0,4.98
2013-14,Quincy Pondexter,1610612763.0,2.24
2013-14,Otto Porter Jr.,1610612764.0,2.28
2013-14,Josh Powell,1610612745.0,4.4
2013-14,Phil Pressey,1610612738.0,1.0
2013-14,A.J. Price,1610612750.0,1.21
2013-14,Ronnie Price,1610612753.0,1.41
2013-14,Pablo Prigioni,1610612752.0,1.22
2013-14,Tayshaun Prince,1610612763.0,3.05
2013-14,Miroslav Raduljica,1610612749.0,5.0
2013-14,Anthony Randolph,1610612743.0,4.13
2013-14,Shavlik Randolph,1610612756.0,4.86
2013-14,Zach Randolph,1610612763.0,4.12
2013-14,J.J. Redick,1610612746.0,1.93
2013-14,Glen Rice Jr.,1610612764.0,2.2
2013-14,Luke Ridnour,,1.02
2013-14,Luke Ridnour,1610612749.0,1.0
2013-14,Luke Ridnour,1610612766.0,1.05
2013-14,Austin Rivers,1610612740.0,1.21
2013-14,Andre Roberson,1610612760.0,2.35
2013-14,Brian Roberts,1610612740.0,1.0
2013-14,Nate Robinson,1610612743.0,1.0
2013-14,Thomas Robinson,1610612757.0,4.12
2013-14,Rajon Rondo,1610612738.0,1.02
2013-14,Derrick Rose,1610612741.0,1.0
2013-14,Terrence Ross,1610612761.0,2.08
2013-14,Ricky Rubio,1610612750.0,1.11
2013-14,Brandon Rush,1610612762.0,2.93
2013-14,Robert Sacre,1610612747.0,5.0
2013-14,John Salmons,,2.95
2013-14,John Salmons,1610612758.0,2.98
2013-14,John Salmons,1610612761.0,2.98
2013-14,Larry Sanders,1610612749.0,4.98
