SEASON,PLAYER_ID,AGE,EXP
2016-17,1626171.0,22.0,1.0
2015-16,1626171.0,21.0,0.0
2022-23,1626171.0,28.0,7.0
2022-23,1631109.0,21.0,0.0
2021-22,203935.0,28.0,7.0
2020-21,203935.0,27.0,6.0
2019-20,203935.0,26.0,5.0
2018-19,203935.0,25.0,4.0
2017-18,203935.0,24.0,3.0
2016-17,203935.0,23.0,2.0
2015-16,203935.0,22.0,1.0
2014-15,203935.0,21.0,0.0
2022-23,203935.0,29.0,8.0
2021-22,202694.0,32.0,10.0
2020-21,202694.0,31.0,9.0
2019-20,202694.0,30.0,8.0
2019-20,202694.0,30.0,8.0
2018-19,202694.0,29.0,7.0
2017-18,202694.0,28.0,6.0
2016-17,202694.0,27.0,5.0
2015-16,202694.0,26.0,4.0
2014-15,202694.0,25.0,3.0
2013-14,202694.0,24.0,2.0
2022-23,202694.0,33.0,11.0
2021-22,203992.0,29.0,4.0
2020-21,203992.0,28.0,3.0
2019-20,203992.0,27.0,2.0
2018-19,203992.0,26.0,1.0
2017-18,203992.0,25.0,0.0
2022-23,203992.0,30.0,5.0
2022-23,1630699.0,22.0,0.0
2022-23,1631108.0,20.0,0.0
2021-22,202687.0,29.0,10.0
2020-21,202687.0,28.0,9.0
2019-20,202687.0,27.0,8.0
2018-19,202687.0,26.0,7.0
2017-18,202687.0,25.0,6.0
2016-17,202687.0,24.0,5.0
2015-16,202687.0,23.0,4.0
2014-15,202687.0,22.0,3.0
2013-14,202687.0,21.0,2.0
2022-23,202687.0,30.0,11.0
2021-22,1626172.0,26.0,6.0
2020-21,1626172.0,25.0,5.0
2019-20,1626172.0,24.0,4.0
2018-19,1626172.0,23.0,3.0
2017-18,1626172.0,22.0,2.0
2016-17,1626172.0,21.0,1.0
2015-16,1626172.0,20.0,0.0
2022-23,1626172.0,27.0,7.0
2021-22,1628467.0,30.0,4.0
2020-21,1628467.0,29.0,3.0
2019-20,1628467.0,28.0,2.0
2018-19,1628467.0,27.0,1.0
2017-18,1628467.0,26.0,0.0
2022-23,1628467.0,31.0,5.0
2021-22,1628389.0,24.0,4.0
