SEASON,PLAYER_NAME,PLAYER_ID,TEAM_ID,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,TIME_OF_POSS,TEAM,OFF_POSS,BALL_HANDLE%
2018-19,Andrew Bogut,101106.0,1610612744,13.625,6.5,GSW,280.0,10.2
2013-14,Andrew Bynum,101115.0,1610612739,16.026,24.0,CLE,933.0,9.6
2013-14,Andrew Bynum,101115.0,1610612754,16.5,2.1,IND,70.0,10.9
2015-16,Andrew Goudelock,202726.0,1610612745,12.352,7.2,HOU,105.0,33.3
2016-17,Andrew Harrison,1626150.0,1610612763,16.446,289.9,MEM,2813.0,37.6
2017-18,Andrew Harrison,1626150.0,1610612763,16.327,242.1,MEM,2541.0,35.0
2018-19,Andrew Harrison,1626150.0,1610612739,16.591,29.9,CLE,279.0,38.8
2018-19,Andrew Harrison,1626150.0,1610612740,15.04,6.1,NOP,75.0,32.4
2018-19,Andrew Harrison,1626150.0,1610612763,13.889,1.0,MEM,9.0,48.0
2022-23,Andrew Nembhard,1629614.0,1610612754,13.907,225.0,IND,4351.0,22.3
2013-14,Andrew Nicholson,203094.0,1610612753,15.487,43.1,ORL,2276.0,7.3
2014-15,Andrew Nicholson,203094.0,1610612753,15.479,21.3,ORL,939.0,8.8
2015-16,Andrew Nicholson,203094.0,1610612753,15.361,38.5,ORL,1624.0,9.3
2016-17,Andrew Nicholson,203094.0,1610612751,14.571,4.5,BKN,224.0,8.3
2016-17,Andrew Nicholson,203094.0,1610612764,15.649,9.7,WAS,453.0,8.2
2017-18,Andrew White III,1628510.0,1610612737,14.669,6.9,ATL,435.0,6.5
2014-15,Andrew Wiggins,203952.0,1610612750,15.377,143.8,MIN,5805.0,9.7
2015-16,Andrew Wiggins,203952.0,1610612750,14.904,172.9,MIN,5684.0,12.2
2016-17,Andrew Wiggins,203952.0,1610612750,15.503,234.9,MIN,6036.0,15.1
2017-18,Andrew Wiggins,203952.0,1610612750,15.508,168.8,MIN,5959.0,11.0
2018-19,Andrew Wiggins,203952.0,1610612750,14.569,188.3,MIN,5277.0,14.7
2019-20,Andrew Wiggins,203952.0,1610612744,14.418,37.8,GSW,835.0,18.8
2019-20,Andrew Wiggins,203952.0,1610612750,14.155,180.9,MIN,3084.0,24.9
2020-21,Andrew Wiggins,203952.0,1610612744,13.681,169.8,GSW,4987.0,14.9
2021-22,Andrew Wiggins,203952.0,1610612744,14.388,166.3,GSW,4748.0,14.6
2022-23,Andrew Wiggins,203952.0,1610612744,13.769,63.3,GSW,2526.0,10.9
2018-19,Anfernee Simons,1629014.0,1610612757,14.993,21.0,POR,306.0,27.5
2019-20,Anfernee Simons,1629014.0,1610612757,14.742,138.2,POR,3030.0,18.6
2020-21,Anfernee Simons,1629014.0,1610612757,15.472,147.2,POR,2235.0,25.5
2021-22,Anfernee Simons,1629014.0,1610612757,15.082,302.6,POR,3381.0,35.6
2022-23,Anfernee Simons,1629014.0,1610612757,15.072,332.9,POR,4389.0,30.2
2018-19,Angel Delgado,1629116.0,1610612746,13.677,0.5,LAC,31.0,7.1
2017-18,Ante Zizic,1627790.0,1610612739,15.122,7.9,CLE,441.0,7.1
2018-19,Ante Zizic,1627790.0,1610612739,15.639,40.2,CLE,2179.0,7.1
2019-20,Ante Zizic,1627790.0,1610612739,14.305,8.2,CLE,456.0,7.5
2013-14,Anthony Bennett,203461.0,1610612739,14.834,25.8,CLE,1310.0,8.0
2014-15,Anthony Bennett,203461.0,1610612750,15.209,41.7,MIN,1781.0,9.2
2015-16,Anthony Bennett,203461.0,1610612761,15.08,3.7,TOR,176.0,8.4
2016-17,Anthony Bennett,203461.0,1610612751,13.421,9.6,BKN,563.0,7.6
2015-16,Anthony Brown,1626148.0,1610612747,15.451,20.6,LAL,1192.0,6.7
2016-17,Anthony Brown,1626148.0,1610612740,15.055,5.9,NOP,275.0,8.6
2016-17,Anthony Brown,1626148.0,1610612753,15.188,1.3,ORL,32.0,16.0
2017-18,Anthony Brown,1626148.0,1610612750,8.556,0.2,MIN,9.0,15.6
2013-14,Anthony Davis,203076.0,1610612740,15.602,114.0,NOP,4539.0,9.7
2014-15,Anthony Davis,203076.0,1610612740,15.827,133.9,NOP,4709.0,10.8
2015-16,Anthony Davis,203076.0,1610612740,14.47,129.1,NOP,4372.0,12.2
2016-17,Anthony Davis,203076.0,1610612740,14.138,173.8,NOP,5500.0,13.4
2017-18,Anthony Davis,203076.0,1610612740,13.6,172.6,NOP,5720.0,13.3
2018-19,Anthony Davis,203076.0,1610612740,13.433,145.1,NOP,3937.0,16.5
2019-20,Anthony Davis,203076.0,1610612747,14.039,155.1,LAL,4492.0,14.8
2020-21,Anthony Davis,203076.0,1610612747,14.74,94.0,LAL,2362.0,16.2
2021-22,Anthony Davis,203076.0,1610612747,14.305,105.7,LAL,2935.0,15.1
2022-23,Anthony Davis,203076.0,1610612747,14.218,138.2,LAL,4002.0,14.6
2020-21,Anthony Edwards,1630162.0,1610612750,14.334,240.6,MIN,4868.0,20.7
2021-22,Anthony Edwards,1630162.0,1610612750,14.278,306.1,MIN,5109.0,25.2
2022-23,Anthony Edwards,1630162.0,1610612750,14.192,370.2,MIN,5939.0,26.4
2020-21,Anthony Gill,1630264.0,1610612764,14.162,7.3,WAS,452.0,6.8
2021-22,Anthony Gill,1630264.0,1610612764,14.841,15.1,WAS,942.0,6.5
2022-23,Anthony Gill,1630264.0,1610612764,14.937,19.4,WAS,1275.0,6.1
2020-21,Anthony Lamb,1630237.0,1610612745,14.157,21.2,HOU,885.0,10.2
2021-22,Anthony Lamb,1630237.0,1610612759,14.188,,SAS,16.0,
